season,specie,sex,age(month),temperature,symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,Disease
3,2,9,59,38.65,46,26,18,55,37,14,14,15
3,2,6,121,38.65,32,14,39,23,41,14,38,11
4,8,6,77,39.25,32,40,53,16,31,29,43,10
12,2,9,108,38.65,23,39,41,27,43,38,24,11
12,2,6,75,38.65,17,45,42,32,47,31,50,1
4,2,6,76,38.65,20,32,36,30,54,31,54,7
3,8,6,22,39.25,32,20,30,36,22,22,35,7
4,8,6,33,39.25,42,28,32,45,43,28,14,1
12,2,6,109,38.65,48,45,42,32,43,28,28,1
4,2,9,126,38.65,18,55,32,54,38,31,36,13
4,2,9,102,38.65,52,39,37,34,37,14,37,5
12,8,9,64,39.25,55,46,26,18,14,24,43,15
12,2,6,86,38.65,23,32,27,39,47,14,36,11
3,2,9,60,38.65,23,39,33,27,48,44,14,11
3,2,9,108,38.65,54,18,55,32,33,31,14,13
4,2,9,73,38.65,20,30,32,36,35,43,37,7
12,8,9,57,39.25,52,39,34,37,51,37,25,5
4,8,6,51,39.25,49,19,34,54,25,43,14,0
4,2,9,22,38.65,27,14,37,23,43,14,35,11
3,2,6,37,38.65,32,36,37,30,29,54,14,7
3,2,9,44,38.65,23,39,32,27,44,28,14,11
4,8,9,4,39.25,23,39,32,27,14,31,21,11
4,2,6,92,38.65,32,20,36,30,51,22,50,7
12,8,9,77,39.25,22,55,32,54,54,31,14,13
12,2,6,96,38.65,34,19,54,49,41,50,14,0
4,8,6,100,39.25,53,16,40,32,14,37,43,10
12,2,6,8,38.65,32,40,53,16,14,33,48,10
3,8,6,89,39.25,32,17,42,45,14,48,41,1
4,2,6,66,38.65,40,53,32,16,14,36,41,10
12,8,6,53,39.25,34,52,37,41,38,29,14,5
12,8,9,44,39.25,27,39,23,32,51,14,31,11
4,8,6,8,39.25,18,55,32,54,51,31,35,13
12,2,9,44,38.65,32,20,36,30,29,51,22,7
3,2,6,21,38.65,47,33,40,32,54,14,54,10
4,2,9,22,38.65,26,14,46,18,36,37,14,15
4,8,6,12,39.25,39,29,14,52,41,25,36,5
12,2,6,62,38.65,39,27,23,32,35,14,29,11
12,2,6,106,38.65,18,26,55,46,43,44,14,15
4,8,9,67,39.25,20,32,30,36,33,38,28,7
12,2,9,15,38.65,39,41,37,34,14,24,47,5
3,8,6,69,39.25,53,16,14,32,14,22,43,10
12,8,9,76,39.25,34,52,37,39,25,14,43,5
4,2,6,100,38.65,53,16,40,32,14,35,14,10
4,2,6,7,38.65,45,17,32,42,54,22,24,1
4,2,6,49,38.65,17,45,14,32,28,31,21,1
3,8,9,112,39.25,32,20,36,30,14,25,43,7
3,2,6,107,38.65,16,53,40,32,24,21,33,10
4,8,6,1,39.25,34,19,41,49,38,21,50,0
4,2,6,33,38.65,32,20,36,30,48,14,43,7
12,8,6,115,39.25,17,45,42,32,43,51,22,1
4,2,6,50,38.65,39,32,27,23,28,29,29,11
4,2,9,3,38.65,30,20,32,36,28,50,14,7
3,2,6,99,38.65,16,40,53,32,41,43,50,10
12,8,6,100,39.25,34,52,39,37,14,35,47,5
4,2,6,4,38.65,23,39,32,27,24,36,14,11
4,8,6,6,39.25,55,54,14,18,25,54,48,13
4,8,9,29,39.25,49,19,34,44,14,14,14,0
12,8,6,105,39.25,34,54,49,19,36,48,14,0
12,2,9,1,38.65,32,55,18,54,14,54,44,13
3,2,9,15,38.65,19,54,49,34,54,29,14,0
12,8,6,73,39.25,18,55,32,54,50,14,28,13
12,8,6,55,39.25,27,39,14,32,14,21,24,11
12,2,9,82,38.65,49,19,34,54,43,28,38,0
3,2,9,120,38.65,26,55,46,18,31,22,29,15
3,2,6,77,38.65,42,17,32,45,29,47,25,1
3,8,9,4,39.25,51,26,55,14,43,14,14,15
12,8,6,121,39.25,39,23,27,32,14,47,14,11
4,2,9,78,38.65,49,19,34,54,14,51,14,0
12,8,6,20,39.25,16,53,40,32,44,29,35,10
4,8,6,100,39.25,26,55,46,18,38,31,36,15
12,8,6,70,39.25,36,14,20,32,29,47,47,7
12,8,9,9,39.25,52,37,39,34,14,54,14,5
12,8,6,104,39.25,32,20,36,30,14,33,28,7
3,8,6,68,39.25,32,17,42,45,31,14,22,1
4,2,6,80,38.65,34,52,37,39,14,41,28,5
12,8,6,31,39.25,42,14,32,17,22,31,14,1
3,8,6,91,39.25,17,32,45,42,48,41,31,1
3,2,9,97,38.65,32,23,27,39,36,31,14,11
4,8,6,36,39.25,18,32,55,54,22,14,24,13
12,8,6,115,39.25,54,42,32,14,14,22,36,1
12,2,9,88,38.65,46,14,18,29,24,44,14,15
4,8,9,92,39.25,37,14,52,34,51,24,36,5
3,2,6,45,38.65,52,39,34,37,14,51,22,5
3,8,6,51,39.25,17,45,32,42,14,44,14,1
4,8,9,117,39.25,21,26,18,46,25,50,37,15
12,2,6,110,38.65,26,55,46,18,28,25,14,15
4,2,6,7,38.65,27,32,23,39,14,35,31,11
3,2,9,51,38.65,36,32,43,30,24,43,31,7
3,2,9,18,38.65,27,23,32,39,14,35,41,11
3,2,9,59,38.65,34,52,37,39,14,48,37,5
4,2,6,1,38.65,34,37,52,39,48,22,22,5
3,8,6,80,39.25,42,45,17,51,24,48,47,1
12,2,9,73,38.65,26,14,46,18,14,28,25,15
3,8,9,98,39.25,37,39,54,37,22,25,14,5
4,8,6,107,39.25,55,46,18,26,14,14,50,15
4,8,6,75,39.25,17,45,42,32,21,51,43,1
12,2,6,63,38.65,17,45,42,32,14,41,14,1
3,8,9,76,39.25,26,25,55,46,14,47,35,15
4,2,9,72,38.65,18,54,55,32,44,36,43,13
4,8,9,65,39.25,49,19,34,54,21,51,44,0
4,2,6,46,38.65,17,45,42,32,22,14,35,1
3,2,6,38,38.65,32,39,23,27,41,29,14,11
4,8,6,48,39.25,23,39,14,27,33,14,41,11
4,2,9,12,38.65,49,34,54,19,43,41,14,0
12,2,6,70,38.65,23,27,39,50,41,54,33,11
12,8,6,28,39.25,27,39,32,23,25,14,54,11
3,2,9,60,38.65,51,19,34,54,25,33,25,0
3,8,9,36,39.25,19,14,14,14,14,14,14,0
12,2,6,80,38.65,18,55,32,54,41,54,43,13
3,2,6,88,38.65,37,39,52,34,24,54,21,5
4,2,6,107,38.65,23,39,32,27,48,25,47,11
3,2,6,67,38.65,30,20,32,36,28,44,14,7
12,2,6,11,38.65,53,16,40,32,41,24,31,10
3,2,6,36,38.65,55,18,46,26,14,14,21,15
12,8,6,96,39.25,53,16,40,32,14,47,37,10
3,2,6,115,38.65,17,45,42,32,31,48,35,1
3,8,9,15,39.25,49,19,34,54,51,22,14,0
